noise_rate,lambda,num_seeds,peak_test_mse_mean,peak_test_mse_std,best_test_acc_mean,best_test_acc_std,peak_solution_norm_mean,peak_solution_norm_std,peak_regularized_condition_number_mean,peak_regularized_condition_number_std,peak_effective_degrees_of_freedom_mean,peak_effective_degrees_of_freedom_std
0.0,0.0,5,19103.4097014948,38085.3084968102,92.632,0.25253910588263023,10250.805054399967,18235.811771964556,435741434622.1254,868200366870.2568,999.9973820534475,0.005209407847787127
0.0,1e-10,5,3587.6645308399507,7054.288534645446,92.632,0.25253910588263023,4933.297750969346,7608.851248609844,190972919528.1091,378672174029.6763,999.885098913793,0.22715997821135978
0.0,1e-08,5,40.34620632280813,25.54174298271954,92.632,0.25253910588263023,931.7924485640294,310.8292921004341,4394227690.757662,6176605645.299532,999.7085570778032,0.36649002388717533
0.0,1e-06,5,6.408428976813188,0.8349127676103317,92.632,0.25253910588263023,388.42728006913256,25.566485961642556,136725917.9435978,20796754.465823345,997.8854943184688,0.3687458695595535
0.0,0.0001,5,0.6231286334194495,0.022881731943360847,92.632,0.25253910588263023,118.67538014566341,1.9245696045915424,1407035.6365287355,230440.63152410416,976.6357844489933,5.786565183730533
0.0,0.01,5,0.09163921324665536,0.002441578513919083,92.67,0.26222128060094224,39.48053629009366,1.1975842647435886,15147.397849342029,455.4362558582028,819.4135282520554,14.983863044942657
0.0,0.1,5,0.0682317323453486,0.0006427932942972887,92.756,0.26469605210505204,3.6192087915561992,0.06709976345998968,22.41881742851966,1.3804777359380072,49.64505610567654,0.005856525448837981
0.0,1.0,5,0.06787982168753545,0.0006479865982409065,91.776,0.2884857015520907,3.4477065149233432,0.06073394975398044,20.108183900055934,1.2107512681629122,46.69834550001353,0.04929034639427503
0.1,0.0,5,26899.262165301614,53557.17350867507,88.59200000000001,0.3472981428110465,12276.700634773226,21577.263692082044,435741434622.1254,868200366870.2568,999.9973820534475,0.005209407847787127
0.1,1e-10,5,5074.871694919471,9909.89703218754,88.59200000000001,0.3472981428110465,5969.947338836806,8985.696634442394,190972919528.1091,378672174029.6763,999.885098913793,0.22715997821135978
0.1,1e-08,5,74.92793040748121,74.23565775634228,88.59200000000001,0.3472981428110465,1213.9126146149933,574.8860568778123,4394227690.757662,6176605645.299532,999.7085570778032,0.36649002388717533
0.1,1e-06,5,12.726216102204045,1.9114449123130213,88.59200000000001,0.3472981428110465,546.5534885500854,41.11461793674364,136725917.9435978,20796754.465823345,997.8854943184688,0.3687458695595535
0.1,0.0001,5,1.1604146778002846,0.04143352232984944,88.6,0.34796551553279037,163.64485536077024,2.9312543996250553,1408027.500227337,188541.10173779645,984.0865536135188,3.355114244736668
0.1,0.01,5,0.13404922298443842,0.002450996678045488,89.05199999999999,0.35543775826436724,48.51483491656443,1.2467444728528665,15236.845274521493,658.9043793944045,822.2271785321149,18.543688806902175
0.1,0.1,5,0.06889659191296452,0.0007163084414580121,90.26599999999999,0.3986276458049567,3.339410318486008,0.07584748281321611,22.41881742851966,1.3804777359380072,49.64505610567654,0.005856525448837981
0.1,1.0,5,0.06868619611478169,0.0007196397725626611,90.61,0.42487645263064977,3.1792904018489434,0.06944105256335886,20.108183900055934,1.2107512681629122,46.69834550001353,0.04929034639427503
0.2,0.0,5,59041.54218250958,117529.3063746748,81.98,0.6730824615156767,18153.46067419647,31985.621698294854,435741434622.1254,868200366870.2568,999.9973820534475,0.005209407847787127
0.2,1e-10,5,11145.062944107147,21740.365131232844,81.98,0.6730824615156767,8809.94345974437,13339.910526150785,190972919528.1091,378672174029.6763,999.885098913793,0.22715997821135978
0.2,1e-08,5,163.62799952370617,194.18158163462533,81.98,0.6730824615156767,1714.339558930443,1006.3274124949555,4394227690.757662,6176605645.299532,999.7085570778032,0.36649002388717533
0.2,1e-06,5,19.561821328214073,4.119552255934259,81.98,0.6730824615156767,676.4258162595436,72.70619874519141,136725917.9435978,20796754.465823345,997.8854943184688,0.3687458695595535
0.2,0.0001,5,1.6386595922402496,0.02712662757105886,81.992,0.671994047592689,193.98874559125616,1.0947234704553284,1395499.4283741198,192058.06434463186,984.0179276626935,3.4954621808346698
0.2,0.01,5,0.17566065036885065,0.0033638128424157893,83.16400000000002,0.7037783742059732,57.03995888234844,0.1935485107041413,15558.508263705004,283.5373889640528,839.196557936755,8.632904199479286
0.2,0.1,5,0.07009744764711616,0.0008670707620900749,86.572,0.8422683657837272,3.0824167438683783,0.09560123377675225,22.41881742851966,1.3804777359380072,49.64505610567654,0.005856525448837981
0.2,1.0,5,0.0699801355691967,0.0008838277673428685,89.48600000000002,0.49208129409681833,2.930677832412332,0.0862403722032742,20.108183900055934,1.2107512681629122,46.69834550001353,0.04929034639427503
