seed,noise_rate,lambda,peak_test_mse,peak_p_over_n,peak_test_acc,peak_solution_norm,peak_regularized_condition_number,peak_effective_degrees_of_freedom,best_test_acc,best_acc_p_over_n
42,0.0,0.0,47.533613371254326,1.0,13.120000000000001,1049.2752823904568,1041013733.1675506,999.9999912835452,92.95,8.0
42,0.0,1e-10,47.48682115796283,1.0,13.120000000000001,1048.761860300035,1040329668.7385373,999.9991288032159,92.95,8.0
42,0.0,1e-08,43.26711765355348,1.0,13.170000000000002,1001.3701933596127,976183321.2915127,999.9170944558565,92.95,8.0
42,0.0,1e-06,7.286500523897402,1.0,16.55,413.1940305263785,136224993.24221593,997.7458615046934,92.95,8.0
42,0.0,0.0001,0.6260619768331412,0.98,38.11,118.22335875035684,1134485.9743842334,969.4124918972341,92.95,8.0
42,0.0,0.01,0.09202131334811911,0.9,74.18,38.91011989995091,14632.185533992957,802.396092336582,92.97,8.0
42,0.0,0.1,0.06865801959224717,0.05,58.36,3.5930095705905263,23.619748794798696,49.64172077290112,93.03,8.0
42,0.0,1.0,0.06831334754485323,0.05,58.25,3.4176625411453587,21.133495660262533,46.66911626845061,92.15,8.0
42,0.1,0.0,65.22318296210089,1.0,12.379999999999999,1229.0629462884733,1041013733.1675506,999.9999912835452,89.27000000000001,8.0
42,0.1,1e-10,65.1751407103317,1.0,12.389999999999999,1228.610637892267,1040329668.7385373,999.9991288032159,89.27000000000001,8.0
42,0.1,1e-08,60.82160690057382,1.0,12.44,1186.8957199030353,976183321.2915127,999.9170944558565,89.27000000000001,8.0
42,0.1,1e-06,14.407549639207405,1.0,15.17,576.6166831658194,136224993.24221593,997.7458615046934,89.27000000000001,8.0
42,0.1,0.0001,1.104676464156329,1.0,26.979999999999997,159.94346592698568,1564993.4680817467,981.664528586901,89.28,8.0
42,0.1,0.01,0.13477368884566934,0.9,60.809999999999995,47.4179873439935,14632.185533992957,802.396092336582,89.69,8.0
42,0.1,0.1,0.06927471627667237,0.05,57.29,3.3231480853502897,23.619748794798696,49.64172077290112,90.93,8.0
42,0.1,1.0,0.0690668229401857,0.05,57.269999999999996,3.1604999175437305,21.133495660262533,46.66911626845061,91.21000000000001,8.0
42,0.2,0.0,129.24527399655733,1.0,11.29,1728.862965652075,1041013733.1675506,999.9999912835452,83.03,8.0
42,0.2,1e-10,129.14026852369182,1.0,11.29,1728.1644907305965,1040329668.7385373,999.9991288032159,83.03,8.0
42,0.2,1e-08,119.63655172694781,1.0,11.28,1663.7218440841461,976183321.2915127,999.9170944558565,83.03,8.0
42,0.2,1e-06,24.824967967763875,1.0,12.53,760.3335855567916,136224993.24221593,997.7458615046934,83.03,8.0
42,0.2,0.0001,1.65294713990786,1.0,20.13,194.32507307111945,1564993.4680817467,981.664528586901,83.04,8.0
42,0.2,0.01,0.1757833763395551,0.98,49.370000000000005,57.23318697712656,15301.846753305916,837.8964258673323,84.46000000000001,8.0
42,0.2,0.1,0.07047136543685525,0.05,55.94,3.041597705390354,23.619748794798696,49.64172077290112,87.94999999999999,8.0
42,0.2,1.0,0.070369987778511,0.05,56.03,2.8876595531619365,21.133495660262533,46.66911626845061,90.10000000000001,8.0
42,0.4,0.0,67.96978700441369,1.0,10.69,1266.1039094245548,1041013733.1675506,999.9999912835452,64.60000000000001,8.0
42,0.4,1e-10,67.94368780350844,1.0,10.69,1265.8633271037777,1040329668.7385373,999.9991288032159,64.60000000000001,8.0
42,0.4,1e-08,65.5569292160393,1.0,10.639999999999999,1243.654426758066,976183321.2915127,999.9170944558565,64.60000000000001,8.0
42,0.4,1e-06,28.44885100603403,1.0,11.799999999999999,821.5580071910192,136224993.24221593,997.7458615046934,64.60000000000001,8.0
42,0.4,0.0001,2.515738056898832,1.02,14.030000000000001,240.77974929543413,1218411.627002248,987.8592419027725,64.63,8.0
42,0.4,0.01,0.24466717882212333,1.0,34.77,67.99468256876082,15674.251052615082,845.9093806948242,66.64999999999999,8.0
42,0.4,0.1,0.09137971557202043,0.7,54.230000000000004,26.7294117449235,1389.8466214719863,528.6573311794223,74.35000000000001,8.0
42,0.4,1.0,0.07410205757012384,0.05,50.949999999999996,2.459135245567907,21.133495660262533,46.66911626845061,84.83000000000001,8.0
123,0.0,0.0,44.50132499169762,1.0,14.030000000000001,1029.1722737428208,651919713.9880267,999.9999945813181,92.85,8.0
123,0.0,1e-10,44.471586328988884,1.0,14.04,1028.8283469706241,651652085.9361366,999.9994583067398,92.85,8.0
123,0.0,1e-08,41.69751857765582,1.0,14.06,996.2234645605005,625955184.4644576,999.947511800553,92.85,8.0
123,0.0,1e-06,7.031711377279747,1.0,17.32,408.1220733958169,126625789.56601919,998.2202256292239,92.85,8.0
123,0.0,0.0001,0.593664598793261,1.0,39.900000000000006,117.0070567919,1567718.5940125766,981.3800741570067,92.85,8.0
123,0.0,0.01,0.09446771888388619,0.95,72.77,40.4120718227249,15415.7404398379,825.3442948957504,92.89,8.0
123,0.0,0.1,0.06888897680037503,0.05,59.34,3.6271234918480806,21.717449270550112,49.642401594464744,92.97,8.0
123,0.0,1.0,0.06851443498569905,0.05,59.5,3.4608637485490394,19.295195648405254,46.6795913985598,92.04,8.0
123,0.1,0.0,41.85283908540689,1.0,11.93,1003.4989530292731,651919713.9880267,999.9999945813181,88.4,8.0
123,0.1,1e-10,41.839842830982384,1.0,11.93,1003.3432632987249,651652085.9361366,999.9994583067398,88.4,8.0
123,0.1,1e-08,40.614602678575345,1.0,11.97,988.5526978575589,625955184.4644576,999.947511800553,88.4,8.0
123,0.1,1e-06,15.337787758104183,1.0,12.540000000000001,606.2564651759526,126625789.56601919,998.2202256292239,88.4,8.0
123,0.1,0.0001,1.1723933481657285,1.0,24.51,164.7996873384128,1567718.5940125766,981.3800741570067,88.41,8.0
123,0.1,0.01,0.13832949403374056,0.95,59.53000000000001,49.777715296690886,15415.7404398379,825.3442948957504,89.0,8.0
123,0.1,0.1,0.06946357324844572,0.05,57.87,3.3631065184360414,21.717449270550112,49.642401594464744,90.41,8.0
123,0.1,1.0,0.06922476896642889,0.05,58.03,3.207309261800293,19.295195648405254,46.6795913985598,90.88000000000001,8.0
123,0.2,0.0,70.43984972190908,1.0,11.29,1302.665786064097,651919713.9880267,999.9999945813181,81.57,8.0
123,0.2,1e-10,70.4077623713934,1.0,11.29,1302.3708754709737,651652085.9361366,999.9994583067398,81.57,8.0
123,0.2,1e-08,67.40249619145378,1.0,11.28,1274.4429511212045,625955184.4644576,999.947511800553,81.57,8.0
123,0.2,1e-06,20.42769615615774,1.0,12.540000000000001,702.4184218500172,126625789.56601919,998.2202256292239,81.57,8.0
123,0.2,0.0001,1.6327286047827123,1.02,20.990000000000002,194.13465291951113,1188594.1976320308,988.2717950091226,81.58999999999999,8.0
123,0.2,0.01,0.18185633137304058,0.95,49.07,56.95597809353897,15415.7404398379,825.3442948957504,82.95,8.0
123,0.2,0.1,0.07080436837812308,0.05,55.85,3.075004110346042,21.717449270550112,49.642401594464744,86.9,8.0
123,0.2,1.0,0.07066995987194567,0.05,56.05,2.9283576328977605,19.295195648405254,46.6795913985598,89.75999999999999,8.0
123,0.4,0.0,180.10392464153782,1.0,11.44,2068.1079080990507,651919713.9880267,999.9999945813181,60.39,8.0
123,0.4,1e-10,179.9817022911273,1.0,11.44,2067.4057104514054,651652085.9361366,999.9994583067398,60.39,8.0
123,0.4,1e-08,168.58019690659697,1.0,11.44,2000.8179455030117,625955184.4644576,999.947511800553,60.39,8.0
123,0.4,1e-06,26.420512637839565,1.0,11.59,790.2435798275333,126625789.56601919,998.2202256292239,60.39,8.0
123,0.4,0.0001,2.6682630519892694,1.0,14.17,246.5084221233524,1567718.5940125766,981.3800741570067,60.45,8.0
123,0.4,0.01,0.25462370483690033,0.95,33.44,66.80817148452394,15415.7404398379,825.3442948957504,62.94,8.0
123,0.4,0.1,0.09314116520386406,0.7,52.26,27.162448775725178,1443.4773330777339,524.9484173981203,71.44,8.0
123,0.4,1.0,0.07544329912926606,0.05,50.629999999999995,2.480660967594998,19.295195648405254,46.6795913985598,84.15,8.0
456,0.0,0.0,17.9890842709581,1.0,14.49,657.1405975147735,322783125.2481587,999.9999962727195,92.30000000000001,8.0
456,0.0,1e-10,17.985207578388433,1.0,14.49,657.0686246817495,322716799.94356626,999.999627321235,92.30000000000001,8.0
456,0.0,1e-08,17.611035525219297,1.0,14.510000000000002,650.0861161184592,316219145.78501356,999.9632158300718,92.30000000000001,8.0
456,0.0,1e-06,6.869692286415028,1.0,17.24,404.13658102429207,104936861.14689814,998.0906275734974,92.30000000000001,8.0
456,0.0,0.0001,0.6384972449753312,0.98,38.15,119.5341740166713,1124373.879056956,969.7079905884002,92.30000000000001,8.0
456,0.0,0.01,0.09306910234399694,0.95,73.74000000000001,40.237217064877925,15753.67857601417,827.848935121835,92.32000000000001,8.0
456,0.0,0.1,0.06814343885608057,0.05,58.309999999999995,3.5760104451644086,21.505085863992388,49.65289339216895,92.35,8.0
456,0.0,1.0,0.06783861017689875,0.05,58.45,3.4054684548965186,19.381326483080347,46.763737146833876,91.47,8.0
456,0.1,0.0,28.885083771159746,1.0,11.95,832.6740511697355,322783125.2481587,999.9999962727195,88.56,8.0
456,0.1,1e-10,28.877930967687643,1.0,11.95,832.5691090090754,322716799.94356626,999.999627321235,88.56,8.0
456,0.1,1e-08,28.189183539965246,1.0,12.01,822.4033681873639,316219145.78501356,999.9632158300718,88.56,8.0
456,0.1,1e-06,10.486085460019615,1.0,14.06,497.862125100127,104936861.14689814,998.0906275734974,88.56,8.0
456,0.1,0.0001,1.1526261424502282,1.0,25.290000000000003,162.6922449009875,1547396.6139012144,981.0141318560263,88.56,8.0
456,0.1,0.01,0.1333568876824811,0.95,60.69,48.6716672405776,15753.67857601417,827.848935121835,88.97,8.0
456,0.1,0.1,0.06933026862693739,0.05,56.720000000000006,3.271757643378939,21.505085863992388,49.65289339216895,89.9,8.0
456,0.1,1.0,0.0691550393724187,0.05,56.81,3.1132313244105854,19.381326483080347,46.763737146833876,90.11,8.0
456,0.2,0.0,48.80716923550879,1.0,10.620000000000001,1070.192631189757,322783125.2481587,999.9999962727195,81.77,8.0
456,0.2,1e-10,48.798901292834024,1.0,10.620000000000001,1070.1006245144988,322716799.94356626,999.999627321235,81.77,8.0
456,0.2,1e-08,47.998262096172226,1.0,10.75,1061.1566208178867,316219145.78501356,999.9632158300718,81.77,8.0
456,0.2,1e-06,21.453015727643137,1.0,11.5,708.8711676709648,104936861.14689814,998.0906275734974,81.77,8.0
456,0.2,0.0001,1.6330492859838213,1.0,20.02,194.25938266080811,1547396.6139012144,981.0141318560263,81.8,8.0
456,0.2,0.01,0.17535345664171667,0.98,48.35,56.88836805690389,15683.663665072154,840.4837317629675,82.73,8.0
456,0.2,0.1,0.0708225952370952,0.05,55.65,3.0229307455304895,21.505085863992388,49.65289339216895,85.84,8.0
456,0.2,1.0,0.0707248898535067,0.05,55.669999999999995,2.8730768057862646,19.381326483080347,46.763737146833876,88.84,8.0
456,0.4,0.0,102.30718014772944,1.0,10.84,1555.078008824248,322783125.2481587,999.9999962727195,63.01,8.0
456,0.4,1e-10,102.28528043205142,1.0,10.84,1554.90896091512,322716799.94356626,999.999627321235,63.01,8.0
456,0.4,1e-08,100.17234185917299,1.0,10.879999999999999,1538.5167687921432,316219145.78501356,999.9632158300718,63.01,8.0
456,0.4,1e-06,39.44449175499663,1.0,10.8,963.537734665874,104936861.14689814,998.0906275734974,63.01,8.0
456,0.4,0.0001,2.3893378534128993,1.0,15.740000000000002,236.56729453027913,1547396.6139012144,981.0141318560263,63.019999999999996,8.0
456,0.4,0.01,0.24307927023447198,1.02,33.61,67.57461440797287,15089.77328917692,855.1522414679544,65.05,8.0
456,0.4,0.1,0.09080866785309856,0.9,53.94,30.349888071418206,1553.2427721283618,598.4050088160706,72.22,8.0
456,0.4,1.0,0.07444600515392158,0.05,50.46000000000001,2.381776877235344,19.381326483080347,46.763737146833876,84.14,8.0
789,0.0,0.0,133.03713623192587,1.0,13.350000000000001,1803.620169539747,4551948756.63366,999.9999648668925,92.39,8.0
789,0.0,1e-10,132.3471214711038,1.0,13.370000000000001,1798.9222744237538,4538691684.763906,999.9964954780309,92.39,8.0
789,0.0,1e-08,85.38422405199897,1.0,13.33,1443.7143342662541,3514988316.723516,999.7177790979223,92.39,8.0
789,0.0,1e-06,5.121171851556448,1.0,18.58,348.0973031720735,149224518.91732183,997.2237764339513,92.39,8.0
789,0.0,0.0001,0.6018522328325077,1.0,37.95,116.66050515066031,1542299.5882731113,980.8395814036958,92.39,8.0
789,0.0,0.01,0.08721558704933528,0.9,73.56,37.375576350949814,14601.977304757185,801.7241265131945,92.4,8.0
789,0.0,0.1,0.06842301806380473,0.05,57.4,3.5550642908844745,20.799187702931995,49.65084781425751,92.54,8.0
789,0.0,1.0,0.06806627424149243,0.05,57.21000000000001,3.3940962470455864,18.79117565790058,46.74671162772033,91.44,5.0
789,0.1,0.0,346.99796527636136,1.0,11.360000000000001,2912.635400989334,4551948756.63366,999.9999648668925,88.33,8.0
789,0.1,1e-10,345.174662981255,1.0,11.360000000000001,2904.9501208648994,4538691684.763906,999.9964954780309,88.33,8.0
789,0.1,1e-08,221.1636060998852,1.0,11.65,2323.376681208337,3514988316.723516,999.7177790979223,88.33,8.0
789,0.1,1e-06,12.564638723697533,1.0,15.28,545.6298446170242,149224518.91732183,997.2237764339513,88.33,8.0
